I_D,FLAG_TSUNAMI,YEAR,EQ_PRIMARY,COUNTRY,LATITUDE,LONGITUDE,REGION_CODE,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
1377,,1766,,GUATEMALA,14.7,-89.5,100,,,,,,,,,,,,
5912,Tsu,1767,,MARTINIQUE,14.4,-61,90,,,,,,,,,,,,
1388,,1767,,GREECE,38.2,20.2,130,,,,,,,,,,,,
1389,,1767,,ITALY,39.3,16.2,130,,,,,,,,,,,,
1390,,1767,,PHILIPPINES,14.2,121,170,,,,,,,,,,,,
5913,Tsu,1767,,CHINA,22.2,113.55,30,,,,,,,,,,,,
5914,Tsu,1768,7.5,PAPUA NEW GUINEA,-4.85,152.8,170,,,,,,,,,,,,
5915,Tsu,1768,6.5,JAPAN,26.2,127.5,30,,,,,,,,1,9,1,,
1391,,1768,,ITALY,44,12,130,,,,,,,,,,,,
1392,,1768,,CROATIA,44.1,15.2,130,,,,,,,,,,,,
1395,,1769,,IRAQ,33,44.5,140,,,,,,,,3,2000,4,,
1393,,1769,,IRAN,29.4,52.3,140,,,,,,,,,,,,
5916,Tsu,1769,7.4,JAPAN,32.3,132,30,,,,,,,,2,,,,2
1397,,1769,,GREECE,38.8,20.8,130,,,,,,,,,,,,
1398,,1769,7.3,RUSSIA,51.8,105.5,40,,,,,,,,,,,,
1394,,1769,,SWITZERLAND,46.9,9.5,120,,,,,,,,,,,,
1400,,1770,,GREECE,38.717,20.65,130,,3,,,,,,2,700,3,,
1401,,1770,7.4,JAPAN,38.6,142,30,,,,,,,,,,,,
5917,Tsu,1770,,HAITI,18.5,-73.4,90,200,3,,,,,,,,,,
8097,,1770,5.5,CHINA,24.6,99.9,30,,,,,,,,1,80,2,,
1403,Tsu,1770,,PHILIPPINES,14.6,120.98,170,,,,,,,,2,,3,,
9532,Tsu,1770,7,INDONESIA,-5,102,60,,,,,,,,3,,3,,
1404,,1771,,PHILIPPINES,14.2,121,170,,,,,,,,,,,,
1405,Tsu,1771,7.4,JAPAN,24,124.3,30,13486,4,,,,,,4,3237,4,,
1409,,1771,,JAMAICA,17.6,-76.5,90,,,,,,,,,,,,
1410,,1772,,GREECE,39.5,20,130,,,,,,,,,,,,
1412,,1772,7.4,JAPAN,39.3,142.7,30,,,,,,,,,,,,
1411,,1772,,FRANCE,44.4,4.8,120,,,,,,,,,,,,
1414,Tsu,1773,,MOROCCO,35.8,-5.83,15,,,,,,,,,,,,
1415,Tsu,1773,,GUATEMALA,14.6,-90.7,100,8000,4,,,,,,4,,4,,
8241,,1773,,GUATEMALA,14.6,-90.7,100,100,2,,,,,,2,,2,,
1420,,1774,,SWITZERLAND,46.9,8.7,120,,,,,,,,,,,,
10489,,1774,,MEXICO,22.04,-103.73,150,,,,,,,,2,,,,4
1418,Tsu,1774,,CANADA,47,-55,150,,,,,,,,,,,,
1419,,1774,,FRENCH GUIANA,4.9,-52.3,160,,,,,,,,3,,,,
1422,Tsu,1775,,CUBA,19.9,-76,90,,,,,,,,3,,,,
6024,Tsu,1775,,HAITI,19,-72.4,90,,,,,,,,3,,,,
5919,Tsu,1775,,INDONESIA,-3.7,128.2,170,,,,,,,,1,,,,
